annual_review_year	match_text
1972	Planners Expenditure Official and Statisticians, USSR, 25 August to ECAF E 2 September 1972. met by 107. A special Envoy of the Minister of Do. Rs. 1,500 .00 External Affairs to Uganda, 25 August to 2 September 1972. -----------------------------------------------------------------------------<pg116> -----------------------------------------------------------------------------1 2 3 5 -----------------------------------------------------------------------------108. 41st Session of the General Assembly, Frankfurt
1972	New York, September to December 1972. Do. 110. FAO/DANIDA Post Graduate Course expenditure Do. in Animal Science, Denmark, 1 Sep. 72 to 30 June 1973. Rs. 1,887.09 - All by FAO/ DANIDA. 111. FAO/DANIDA Course in Microbiology, Food Hygiene and Food Control, Denmark, 1 September 72 to 30 June 1973. Do.
1972	September 1972. Do. 113. Round Table Conference of the International Institute of Administrative Sciences, Caracas, Venezula, 11-15 September 1972. Do. Expenditure met by FAO/ DANIDA. Rs. 7,937.80 1,052 .50 (Bolivars) 1500 Belgian Francs. 114. 25th Meeting of the Bureau of the International Social Security Association and the Symposium and Social Security, Mexico, 11-15 September 1972. Do. Rs. 1,722.00 115. Meeting of the Fruits Vegetables and and their deprived products Sub-Committee of Agricultural Food Products Technical Commission of the ISO and its Working Group meeting of Tech. Division of ISO/TD 2-Ag. Hungary/ Switzerland and Paris, 13-29 Sept. 1972. Do. Rs. 3,708.69 116. Meeting of ISO/TC 120-Leather and Do. Rs. 1,375.65 Its Sab-Committees, Romania, 1822 September 1972. -----------------------------------------------------------------------------<pg117> --------------------------------------------------------------------------------1 2 3 4 --------------------------------------------------------------------------------117. 2nd World Conference on National 1,925 .00 Parks, Yellow Stone, USA, Canada 8-26 September 1972. Do. Rs. 118. Meeting of the Indo-Soviet A. Com1,800 .00 mission, USSR 19-23 Sept. 1972. Do. Rs. 119. 41st General Assembly Session of the 7,000 .00 International Criminal Police Organisation, Frankfurt, 19-26 September 1972. Do. Rs. 120. 1st Session of Joint FAO/WHO Com1,444 .50 mittee of Government Experts on the Code of Principles concerning Milk and Milk Products, Italy, 25-30 September 1972. 121. 4th Eastern Regional Organisation for know Official Do. Rs. Not n Planning and Housing Conference, Seoul, September 1972. 122. Meeting of the UNICTRAL Working 7,360 .00 Group on International Shipping Legislation, Geneva, 25 September to 6 October 1972. Do. Rs. 123. FAO/DANIDA Post Graduate Course Expenditu re in Animal Physiology & Bio-ChemistF AO ry, Denmark, 1 October to 30 November, 1972. Do. 124. 7th World Forestry Conference, Argen5,492 .81 tine, 4-18 October 1972. Do. Rs. 125. IUFRO Meeting of the Genetics Sub5,232 .85 ject Group & the Workshop on Applications on Quantitative Genetics in Forestry, Japan 5-20 Obctober 1972. Do. Rs. 126. 56th Annual Session of International 3,336 .40 Federation, Japan, 9-13 Oct. 1972. Do. Rs. met by 127. 23rd Session of the Executive Comittee Do. Rs. 4,463 .23 of the Programme of the United Nations High Commissioner Refugees, 9 to 17 October 1972. --------------------------------------------------------------------------------<pg118> -----------------------------------------------------------------------------1 2 3 4 -----------------------------------------------------------------------------128. Inter-Regional Seminar on Methods of Epidemology Surveillance of Communicable diseases, Kenya, 9-20 October 1972. Do. Expenditure met by FAO 129. Seventh Session of UN Statistical Com- Do. Rs. 4,890.00 130. 15th Session of the FAO. CCP InterGovernmental Group of Grains, Italy, 24-26 October 1972. Do. Expenditure met by FAO. 131. Meeting of Relationship between the Do. Rs. 1,500.00 Do. Rs. 4,500.00 Do. Rs. 10,284.00 Do. Rs. 4,947.65 mission, Geneva, 13-24 October 1972 Multinational Corporations of Social Policy of ILO, Geneva, 26 October to 3 November 1972. 132. Meeting on drafting a
1972	of Postal studies of U.P.U. Berne, in November 1972. 135. Commonwealth Telecommunications Conference, Ottawa, November 1972. Official 136. A special representative of the Foreign Do. Rs. 3,300.00 Minister to Uganda, 3-9 November 1972. 137. Meeting of National Accounts and Development Planning in Low Income Countries, Paris, 13-17 Nov. 1972. Do. 138.
1972	Singapore, 28 November to 13 December 1972. Do. 143. 5th Plenary Assembly of OCITT, Geneva, December 1972. Do. 144. Government representative to the ses- Do. Rs. 2,000.00 Do. all Nil. - sion of Latin American Parliament, Guatemala, 3-9 December 1972. 145. Annual Meeting of Board of Trustees at expenditu re IRRI, Philippines, 20-26 February met by IRRI. 1972. 146. ISO Seminar on Freight Containers, Do. Rs. 1,109.00 Do. Rs. Paris, 1972. 147. 11th Session of the Railway Sub-Com13,029.00 mittee of the ECAFE and Third Working Party of Experts on Trans-Asian Railways, Bangkok in 1972.
1972	Government of India (Mr. T. N. Kaul) and H. E. Mr. H. R. Choudhury, Head of the Bangladesh Mission, New Delhi, regarding commodity grant of Rs. 25 crores and foreign exchange loan of (pound) 5 million. 17 January 1972. 27. Treaty of Friendship, Cooperation and Peace between the Republic of India and the People's Republic of Bangladesh. 19 March 1972. <pg129>
1972	March 1972. 1972 . 29. Agreement between the Government of India and the Government of People's Republic of Bangladesh for Financing the supply of Five Lakh Tonnes of crude oil to Bangladesh. - - 17 May 1972. 30. Credit Agreement between the Government of India and the Government of the People's Republic of Bangladesh upto an amount of sixty Million. 16 May 1972. 31. Credit Agreement between the Government of India and the Government of the peoples Republic of Bangladesh upto an amount of Indian Rupees one hundred million. 16 May 1972. 32. Protocol on Inland Water Transit and Trade. 1 November 1972. 1972 . - 28 March - - - - - -
1972	October 1972. - - - - - - CANADA 36. Development Loan Agreement between the Government of India and the Government of Canada for fifty million Canadian dollars (CS 50, 000,000) for the Purchase of certain commodities and fertilizers 10 June. 1972 37. Exchange of Letters between the Governof India and the Government of Canada for the grant of skimmed milk powder worth two million dollars ($ 2 million) under Food Aid Convention of 1971. 19 July 1972. 38. Exchange of Letters between the Government of India and the Government of Canada concerning an additional loan of seven hundred thousand Canadian dollars by amending the existing agreement of one million Canadian dollars of 12 August 1971. 2 August 1972. - 19 August 1972. - - - - <pg131> 39. Exchange of Letters between the Government of India
1972	signed on 12 August 1971 between India and - - 26 September - - - Canada concerning the development loan in the amount of one million Canadian dollars ($ 1,000.000) later amended by exchange of letters dated 2 August, 1972 ---------------------------------------------------------------------------------<pg132> ---------------------------------------------------------------------------------1 2 3 4 5 6 ---------------------------------------------------------------------------------to one million seven hundred thousand Canadian dollars ($ 1,700,000) for the purchase in Canada of certain fertilizer bulk handling equipment for the port of Kandla) 23 November 1972. 43. Loan Agreement for one million seven hundred and forty-two thousand Canadian dollars ($ 1,742,000 .00) for the establishment of a satellite communications earth station and also Memorandum of understanding concerning the establishment of a Second Satellite Communications Earth
1972	- - - - - 24 April 1972. DENMARK 44. Loan Agreement between the Government of India and the Government of Denmark for forty (40) million Danish Kroner for the purposes of imports from Denmark of such Danish capital goods, components and spare parts as are to be used for the economic development of India. 24 April 1972. <pg133> FRANCE 45. Financial Protocol between the Government of India and the Government of France for one hundred and fifty million francs (150 million) for French goods and services. 20 March 1972. 1972 . 46. Protocol of the Indo-French Economic Com- - 20 March mission. (Meeting held in Paris
1972	- 21 June 1972. 52. Credit Agreement between the State Bank of India and the UNIQUE NATIONALE DE PARIS for a loan of FF 35 million for the financing of purchases in France for construction of a fast breeder test reactor to be built in Madras. 3 November 1972. - - - - - <pg135> FEDERAL REPUBLIC OF GERAMNY 53. Loan Agreement between KREDITANSTALT FUR WIEDERAUFBAU and the Government of India for DM 100 million (one hundred million) (Commodities XIII). 54. Arbitration Agreement between KREDITANSTALT FUR WIEDERAUFBAU and the Government of India to the above, agreement. - 29 March 1972. - - 29
1972	the Government of India and the Government of Italy (known as later-governmental Agree. ment) for the medium-term, Credit to a maximum of 4 milliard, 593 million and 750 thousand lire. 26 July 1972 90. Financial Convention between the Govern. ment of India and the following five Italian medium term credit Institutions ISTITUTO DI CREDITO
1972	- - - - - 16 May - JAPAN 91. Loan Agreement between the ExportImport Bank of Japan and the Government of India for fifteen Billion YEN (Y 15,000, 000,000) for non-project aid and sixteen Billion YEN (Y16,000,000,000) for Project aid. 1 February 1972 KUWAIT 92. Cultural Agreement between the Government of the Republic of India and the Government of the
1972	the Government of India and the Government of Nepal for the disposal of surplus machinery following the completion of the Trisuli Hydel Project amounting to Rs. 5,88,957.00 (Indian currency) to His Majesty's Government of Nepal. 10 May 1972 - - 13 March 1972 - 1 April 1971 - 1 April 1966
1972	and De Nederlandse Investeringsbank voor Ontwikkeling-slanden N.V., established at the Have, The Netherlands, for the grant of long term loan amounting to <pg145> Hfi. 68,000,000.-(sixty-eight million Netherlands guilders) as a contribution to the foreign currency requirements of India resulting from India's development Plans. - 19 July 1972 - - - -
1972	Notes between the Government of India and the United Kingdom of Great Britain and Northern Ireland regarding interest free loan not exceeding (pound) 12 <pg147> million (twelve million pounds sterling) for the purpose of assisting in financing certain development capital investments. 17 March 1972. 112. Exchange of Letters between the Govern- - -
1972	Britain and Northern Ireland regarding the total sum of loan constituted by an exchange of notes dated 17 March 1972 for division :(a) (pound)5 1/2 million for the purpose of the Indian Capital Goods Committee, (b) (pound)5 1/2 million for the purposes of allocations to meet the foreign exchange requirements for capital goods for public sector programmes. - (c) (pound) 1 million to enable the National Small Industries Corporation to import capital goods for sale to firms in the small scale sector of Indian Industry. 17 March
1972	of India. 9 November 1972. 118. Exchange of Letters between the Governments of India and United Kingdom for issue of import licences for (pound) 1.5 million. 9 November 1972. 119. Exchange of Notes between the Governments of India and the United Kingdom of Great Britain and Northern Ireland regarding an interest
1973	nuclear research work. Economic Relations with Bangladesh On the emergence of Bangladesh as an independent sovereign nation India promised economic aid to the extent of Rs. 200 crores in the shape of grants and loans to rehabilitate and recon- struct the war shattered economy of Bangladesh. The Indian people and voluntary organisations manifested their fraternal spirit by sending relief goods worth approximately another Rs. 20 crores. Thanks to the efforts of the Government and people of Bangladesh and the help of the international community, Bangladesh has successfully rehabilitated her economy and
1973	to the Chhatak Cement Factory in Sylhet in Bangladesh on an ad hoc basis, that is under the Limited Pay- ments Agreement or under the Rs. 18.58 crores Refugee Relief Grant given to Bangladesh in early 1972. Recently a draft agree- ment for the supply of 2 lakh tonnes of limestone annually to the. Chhatak Factory by the Komorrah Limestone Company for a period of 20 years has been initialled. The formal approval
1973	order to explore the scope for further co-operation in clinker/ cement between India and Bangladesh, the Government of India has commissioned a feasibility study costing Rs. 1 lakh. The Government of India has sanctioned another feasibility study in respect of fertilizer co-operation. The study costing Rs. I lakh has been entrusted to the Fertilizer Corporation of India. India has also sanctioned technical assistance in the field of sponge iron. The cost of this feasibility study, which would be pg11> about Rs. 13 lakhs, as well as the other studies, would be borne by the Government of India. Under the technical assistance programme India is providing training facilities to
1973	11 July 1973. This was in addi- tion to "Vishva Prem" delivered in 1973 and two Fokker Friend- ship aircrafts supplied even earlier under a Rs. 6 crores credit. During 1973, contracts were signed under the Rs. 10 crores credit agreement (forming part of the Rs. 200 crores aid programme), entered into on 16 May 1972, for (1) the rehabilitation of the Bangladesh Railway system-Rs. 8 crores; (2) the supply of telecommunication equipment Rs. 30 lakhs; and (3) the supply of power equipment-Rs. 1.70 crores. The Bhairab bridge on the river Meghna which restored rail communication between Dacca and Chittagong was repaired by the Indian engineers in a record time
1973	period of three years. A trade protocol was also signed with a validity of one year for the exchange of goods to the extent of Rs. 30.5 crores each way. A coal agreement was signed on 25 August 1973, for the supply from India to Bangladesh of 650,000 tonnes of coal during 1973-74. Also an Indo-Bangladesh agreement came into force on 20 September 1973, providing for the exchange of books, newspapers, and periodicals worth Rs. 22 lakhs each way. Both these agree- ments were under the BTPA. The Inland Water Transport Organisations of India and Bangladesh signed an agreement on 18 August
1973	Bhutan in several vital sectors, particularly agriculture, in- dustry, road construction, transport and education. Bhutan's Third Five Year Plan (1971-76) provides for an outlay of Rs. 35 crores. India is actively co-operating in the programmes envisaged under this Plan and has agreed to provide Rs. 33 crores by way of developmental assistance. Detailed co-operation between planning experts and specialists in various fields has also been carried out. The Government of India have undertaken to finance the Chukha Hydro-electric Project and the Pagli Cement Plant in Bhutan. The projects are estimated to cost Rs. 64.3 crores and Rs. 7 crores respectively. ln addition, during the plan period 1971-76, a sum of Rs. 2.13 crores has also been approved for geological and mineral exploration in Bhutan. The Ministry of Agriculture, Government of India, carried out a pre-investment survey of forest
1973	venture with Fiji, was opened by H.E. Ratu Sir Kamisese Mara, the Prime Minister of Fiji on 10 September 1973. Tonga Medicines and clothing worth Rs. 10,000/- were presented to the Government of Tonga in May 1973, as Government of India's contribution towards relief of cyclone victims. A Tonga-India Friendship Week
1973	each other's capital as of 10 December 1973. In the field of trade there was a steady improvement over 1971-72, with the two-way trade reaching Rs. 8.25 crores. pg40> Democratic People's Republic of Korea India's relations with DPRK continued to remain friendly. A DPRK Government delegation led by Mr. Kim Gwan Sop visited
1973	Laotian Forestry officials came to India on a study tour. India made provision for training of two forestry trainees. She would also contribute As. 11 lakhs in the second phase of the Nam Ngum Hydro Electric Project in Laos. The Indian contribution would be in the form of supplies of machinery
1973	pro- grammes. As a token of her concern for the difficulties faced by Zambia in obtaining essential supplies, India donated drugs and medicines valued at Rs. 3.75 lakhs on an immediate basis. On the political plane she extended complete support to Zambia in the United Nations Security Council as well as outside in
1973	Rhodesia. India also expressed her appreciation for Zambia's restraint in face of provocation by Rhodesia. The problem of compensation for assets left behind by several thousands of Indians expelled from Uganda in the latter half of 1972, engaged India's utmost attention, but unfortunately there was no progress since no positive steps
1973	between the two countries. India and the USSR have further aimed at doubling. their bilateral trade turn-over by 1980. (The trade turn-over during 1973, was Rs. 410 crores). To achieve this objective, the two countries have agreed to create additional capacities in their res- pective countries to meet the long-term requirements of the
1973	the USSR from 1 to 9 July 1973 and was received by General Secretary Mr. L. I. Brezhnev. The Agreement for the supply of 2 million tons of wheat, on a loan basis, by the Soviet Union concluded on 2 October 1973, was warmly appreciated by the Government and people of
1973	third Economic Co-operation Agreement was signed between the two countries on 5 December 1973. Czechoslovakia has agreed to provide fresh credits of the value of Rs. 800 million on more favourable terms than the previous Czechoslovak credits. Under the Agreement, Czechoslo- vakia has undertaken to continue her assistance in the strengthening of India's
1973	in the fields of power generation, electrification of railways, engineering industries and fertilizer production. The bilateral trade turn-over is also planned to be increased to Rs. 1,500 million in 1974, as compared to Rs. 800 million in 1973. Among the other high-level exchanges of visits were the visit by the Minister of External Affairs, Sardar Swaran Singh, to Czechoslovakia from 29
1973	1973-75 which was concluded in January 1973, during the visit of the Prime Minister of Poland to India. The Indo-Polish trade turn-over has increased from Rs. 4 million in 1953 to Rs. 747 million in 1972. The first meeting of the Indo- Polish Joint Commission which was held in Warsaw from 2 to- 8 November 1973, marked an important
1973	Foreign Trade visited India from 8 to 14 pg71> December 1973, and concluded a Trade Protocol for 1974, envi- saging a total trade turn-over of Rs. 775 million. There has been a steady progress in India's trade with Hungary. On the cultural side there has been exchange of scholars and delegations between the
1973	of the improvement of Indo-U.S. relations was the decision of the two Governments to enter into discussions to resolve the outstanding problem of United States-owned rupees in India. These negotiations were successfully concluded and an agreement initialled in New Delhi on Dec 13, 1973. The Government of India expressed satisfaction on this development. A formal agreement between India and the United States on the question of PL-480 rupees was signed in New Delhi on 18 Feb- ruary 1974. In the economic field, there were some readjustments in Indo- U.S. relations. After mutual consultations
1973	industries, forestry, leather technology, sugar and food technology, cinematography, journalism, architecture and structural designing, wireless communication, irrigation, power generation, etc., etc. There are besides several hundred trainees on self financing basis whose places have been arranged by this Ministry. In addition, we have trainees from countries like Nigeria, Zambia, Libya etc.
1973	to open another Assistant High Commission in Rajshahi, Bangladesh. The normal expenditure of the Ministry during 1973-74, is estimated to be of the order of Rs. 7544.82 lakhs, details of which are given below:- (Rs. in lakhs) Headquarters 283.12 Missions/Posts abroad. 1326.90 Other Items Contribution to the United Nations & Commonwealth Secretariat 210.68 Central Passport A Emigration Organisations 45.51 other Miscellaneous Items
1973	under the frame-work of the 'Scheme for propagation of Hindi abroad' through our Missions in the coun- tries included in the Scheme. Hindi books worth rupees one lakh pg125> approximately were sent to the Missions in these countries for setting up Hindi libraries there. Our Missions in Mauritius and Fiji have been doing
1973	and " Annual Meeting of the Board of Trustees at IRRI, Los Banos (Philippines). 31 January -2 February 1973. 10 Commonwealth Youth Ministers Conference, " Rs. 9780.46 Lusaka. Jan.-Feb. 1973. 11 Meeting of UNCITRAL Working Group on " International Shipping Legislation, New Rs. 8361.40 York. 5-16 February 1973. APPENDIX I
1973	contd. 1 2 3 4 12 1st Meeting of ISO/TC23/SC7-Equipment for Official Rs. 1082.90 Harvesting and Conservation Sub-Commit- tee of Agricultural Tractors and Machinery, Rome. 6-7 February 1973. 13 189th Session of the Governing Body of " Rs. 6808.00 ILO Geneva. 8 February-2 March 1973. 14 FAO Technical Conference on Fishery " Development, Vancouver. 10-23 February 1978. 15 23rd Session of the UN Commission for " Rs. 10548.00 Social Development, New York. 12 February-2 March 73. 16 International Convention on Trade in certain " Rs. 8422.14 Species of wild life, Washington. 16 February-2 March 1973. 17 UNESCO Experts meeting to study working " Expenditure documents on the items of General Con- by UNESCO ference dealing with Instruments for Analysis of Culture. 20-24 February 1973. 18 6th Session of FAO Inter-Governmental " Rs. 3482.25 Group on Jute Kenaf and Allied Fibres, Rome. 21-23 February 1973. 19 29th Session of UN Commission on Human " Rs. 30100.00 Rights, Geneva. 26 February-6 April 1973. 20 Annual Conference of Pacific Area Travel " Rs. 8610.00 Association, Tokyo. February 1973. 21 Meeting of the UN Sea-bed Committee, " Rs. 20220.00 New York. 5 March-6 April 1973. 22 UNIDO/IRRI Regional Study and Expert " Group Meeting on the Design and Manufac- ture of Wet land Rice Mechanisation Machinery in the developing countries of Asia and Far East, Philippines. 12-17 March 1973. 23 4th Asian Pacific Weed Science Society Con- " Rs. 907.17 ference Rotorua (New Zealand). 12-16 March 1973. 24 First Session of the UN Committee on Science " Rs. 12590.00 and Technology for development, New York. 12-30 March, 1973. 25 FAO Expert Consultation on Animal " Genetic Resources, Nanzilly (France). 19-24 March 1973. APPENDIX
1973	26 March to 12 April 1973. 27 Commonwealth Sugar Agreement Ministerial " Level consultations, London. 28-29 March 1973. 28 South Asia Regional Travel Commission, " Rs. 1165.00 Colombo. March 1978. 29 3rd Meeting of IPFC/Working Party on " Economics of Agriculture, Bangkok. 2-5 April 1973. 30 Conference on waves and instabilities in " US$ 618.00 Plasma, Austria. 2-7 April 1973. 31 6th Session of UNCITRAL, Geneva. 2-18 " Rs. 9119.75 April 1973. 32 International Council of Combustion Engineers " Rs. 2982.00 Washington. 5-9 April, 1973. 33 Annual Meeting of CIMMYT, Mexico. 8-12 " April 73. 34 3rd Session of FAP Sub-Committee on " Rs. 2882.25 Fisheries Education and Training, Rome. 9-17 April 1973. 35 Expert Consultation and Development of a " Co-operative Planning for Better Family Living Programme, Paris.
1973	for the Support " of victims of colonialism and apartheid in South Africa, Oslo. 9-14 April 1973. 37 62ad Session of the Mekong Committee, " Rs. 1570.00 Tokyo, 11-24 April 1973. 38 Seminar on Regional Approaches to Agri- " cultural Development Planning, Philip- pines. 15-21 April 1973. 39 Seminar on Agriculture
1973	East Asia, Malacca. 17-25 April 1973. 40 Annual Conference of IRRI, Philippines. " 23-27 April 1973. 41 1973 Session of the United Nations Childrens' " Rs. 801.05 Fund Executive Board, Now York. 26 April-11 May 1973. APPENDIX I-contd. 1 2 3 4 42 Commonwealth Specialist Conference on Official Rs. 2697.20 Teacher Education, Nairobi. 26 April- 11 May 1973. 43 World Administrative Telegraph and Tele- " Rs. 6971.40 phone Conference, Geneva. April 1973. 44 28th Session of Administrative Council " Rs. 1500.00 of the International Telecommunication Union, Geneva. April 1973. 45 10th Session of the UN Scientific and " Technical Sub-Committee of the Committee on the
1973	of Outerspace, New York. 7-18 May 1973. 46 First Session of the UN Sugar Conference, " Geneva. 7-30 May 1973. 47 UIC/ORE International Colloquium, " Rs. 1570.00 Utrecht. 7-11 May 1973. 48 Preparatory Meeting of the non-aligned " countries Meeting, Kabul. l3-l5 May l973. 49 3rd International Congress on Experiments I " Mechanics, Los Angeles. 13-18 May 1973. 50 International Television Conference, Mount- " $524.00 reaux. 18-24 May 1973. 51 8th Session of the Co-ordinating Council for " Rs. 2375.00 the International Hydrological Decade UNESCO, Paris. 20-30 May 1973. 52 First Session of the International Geological " Correlation Programme, Paris. 20-25 May 1973. 53 XLI General Session of OIE, Paris. 21-26 " Rs. 248.10 May 1973. 54 Session of the Codex Committee of the " Joint FAO/WHO Food Standards Pro- gramme, Washington. 21-25 May 1973. 55 COSPAR Conference, Konstanz (W. " $ 757.00 Germany). 22 May-6 June 1973. 56 XVI plenary meeting of COSPAR Federal " US $ 1668 Republic of Germany. 25 May-6 June 1973. DM 192 57 Final Workshop Meeting on changes in " Rice farming in Selected Areas of Asia, Manila. 28 May-1 June 1973. 58 Symposium on the Design of Water Re- " Rs. 2860.0 sources Project of Inadequate Data, Madrid. 4-9 June 1973. 59 21st Session of the Protein Advisory Groups, " New York. 4-8 June 1973. APPENDIX
1973	Studies, Poland. 4-8 June 1973. 61 Annual Meeting of Board of Trustees of IRRI, " Philippines. 7-9 June 1973. 62 lnternational Conference on Marketing, " Rs. 3970.69 Greenbrier (USA). 8-13 June 1973. 63 60th Session of FAO Council, Rome. " Rs. 7068.47 64 24th Executive Council Meeting of the ICID, " Rs. 3071.40 Prague. 11-15 June 1973. 65 Intersputnik Conference, Bulgaria. 12-18 " $ 377 June 1973. 66 11th Congress of ICLD, Madrid. 11-15 " Rs. 6973.86 June 1978. 67 First Session of the Governing Council of the " Rs. 75000.00 UN Environment Programme, Geneva. 12-22 June 1973. 68 Second Quarterly Meeting of Coconut Pro- " duction and Productivity, Bangkok. 18-23 June 1973. 69 Symposium on magnetospheric motions, " US $ 191 USA. 18-22 June 1973. 70 The 19th American Astronautical Society " meeting in the capacity of co-Vice Chair- man. Dallas, USA- 19-21 June 1973. 71 4th "Pacem in Maribus" Convocation, Malts. " Rs. 1496.00 23-26 June 1973. 72 Seminar on 'lnstructional Training Techni- " Met by ques for Broadcasting', Kuala Lumpur. UNESCO 25 June-2 July 1973. 73 Asian African legal Consultative Committee's " Rs. 3200.00 Sub-Committee, Geneva. 28-30 June 1973. 74 95th Executive Committee Meeting of " Rs. 10433.00 IUOTO, Warsaw. June 1973. 75 International Congress "The Sun in the " Nil service of Mankind", Paris. 2-6 July 1973. 76 UN Committee of Sea-bed, Geneva. 2 July- " Rs. 130121.00 24 August 1973. 77 4th Meeting on Co-operation among Indust- " Rs. 6544.15 rial Development Financing Institutions, West Berlin. 4-11 July 1973. 78 55th Session of the UN Economic and Social " Rs. 33760 00 Council, Geneva. 4 July-10 August 1973. APPENDIX I-contd. 1 2 3 4 79 1st Meeting of the Advisory Group of the Official International Soyabean Research, USA. 9-10 July 1973. 80 FAO ad-hoc Consultation on the Interna- " Rs. 1928. 00 tional Plant Protection Convention, Rome. 9-13 July 1973. 81 First Meeting of the Planning and Editing " Nil Committee of the Asian Area
1973	5th UN Congress on Prevention of Crime and " Treatment of Offenders. 16-21 July 1973. 87 UN Seminar on "The Family in a changing " Rs. 750.00 Society" Problems & Responsibilities of its Members, London. 18-31 July 1973. 88 International Symposium on the Hydrology " Rs. 2343.00 of Lakes, Finland. 23-27 July 1973. 89 Meeting of the FAO Technical Consultative " Group on Agriculture Research, Washington. 24 July-4 August 1973. 90
1973	Group on " Stratigraphic Correlation between Sedi- mentary Basins of the ECAFE Region, Bangkok. 24-30 July 1973. 91 The PATA Board of Directors Meeting, " Rs. 5193.00 Noumea (New Caledonia). July 1973. 92 FAO/DANIDA Seminar on Milk Manage- ment, Denmark. 4-26 August. 1973. 93 Plasma Physics Workshop session Italy. " 13-31 August 1973 94 5th Regional Conference of Development " Rs. 2291.75 Banks of Asia. 14-17 August 1973. APPENDIX I-contd. 1 2 3 4 95 13th International Cosmic Ray Conference, Official $ 998 Denver. 17-30 August 1973. 96 13th International Conference on " Rs. 16400.60 Agriculture Economics, Brazil. 19-30 August 1973. 97 Seminar on Communication Revolution " US $ 688 sponsored by Australian National Commit- tee for UNESCO, Melbourne. 19-27 August 1973. 98 39th Session of I. S. I. Vienna. 20-30 " Rs.4925.00 August 1973. 99 XIII International Congress on Genetics " USA 20-24 August 1973. 100 Third International Gondwana Symposium, " Canberra. 20-25 August 1973. 101 International Conference on Nuclear Physics " US$ 449 Germany 27 August-1 September 1973 DM 200 102 Seminar on Prevention of Narcotic Offences " By Govt. of Tokyo. 2 September-4 October 1973. Japan. 103 15th Congress of the International Associa - " Rs. 3037.00 tion for Hydraulic Research, Istanbul. 3-9 September 1973. 104 ECAFE Seminar on Water Resources Manage- " Rs. 3840.00 ment, Bangkok. 3-21 September 1973. 105 Session on the Sare, Effective and Efficient " utilization of Insecticides, Bangkok. 3-12 September 1973. 106 10th International Symposium on Space " 69400 yen Technology and Science, Tokyo. 3-8 September 73. 107 Summit Conference of Non-aligned countries " Rs. 111982.00 Algiers. 3-10 September 1973. 108 IAGA Assembly meetings (2participants), " us $ 660 Japan. 9-21 September 1973. 109 Meeting of Panel of Coconut, Manila. 10-15 " September 1973. 110 Regional Seminar of Experts on Population " Nil
1973	on Papavev Official By U. N. Bractentum of the UN Fund for Drug Abuse Control, Tehran. 13-17 September, 1973. 113 UIMC-24th Congress, London. 17-22 " Rs. 2588.00 September, 1973. 114 34th Session of the International Conference " Rs. 13897.13 on Education and 9th Session of the Council of IBE, Geneva. 18-28 September 1973. 115 5th International Congress on Soil Zoolo. " gy, Prague, and 2nd International Cololquium on Collembola, Jevany. 19-26 September, 1973. 116 9th Session of Asia Pacific Forestry Commis- " Rs. 3556.10 sion, Malaysia, Singapore, Australia & Hong Kong. 20-28 September, 1973. 117 1st World Congress on Water Resources, " Rs. 11550.00 Chicago. 23-28 September, 1973. 118 Meeting of FAO ad-hoc Panel on " Vertebrate Peat Control and Ricel Gall Ridge, Bangkok. 26-27 September, 1973. 119
1973	International Meeting of Experts on UNESCO " Nil Associated Schools Project, Quebec. 29 Sept. -7 Oct. 1973. 122 International Symposium on Space Tech- " US $ 1591.00 nology & Science, Tokyo. September, Yen 7000 1973. 123 Inter-Country Workshop on Instant Health " Kathmandu. September /October, 1973. 124 Plenipotentiary Conference of the Inter- " Rs. 19623.00 national Telecommunication Union, Spain. September, 1973. 125 Symposium on Farm Water Management, " Utah (USA) 1-8 October, 1973. 126 Second Consultative Group Meeting on
1973	1973. 137 Meeting of the International Federation " of Institutes of Advanced Studies, Paris. 16-20 October 1973. 138 Meeting of the Selection Committee cons- " Rs. 3853.00 tituted by UNDP Headquarters at Geneva, 21-26 October 1973. 139 FAO ad hoe Government Consultation " Rs. 3052.44 on Fertilizers Rome. 22-24 October 1973. 140 UN/UNESCO African Regional Seminar " on Satellite Broadcasting Systems for Education and Development, Addis Ababa. 22-31 October
1973	the UNESCO, Paris. 23-27 October 1973. 142 International Symposium on Animal " Research, Japan. 23-28 October 1973. 143 Conference on Machine Processing of Re- " $1125.00 motely Sensed Data at West Lafayette, Indiana, USA, and Conference on Mana- gement of utilization of Remote Sensing Data, South Dakota, USA. 29 October 1 November and 22-30 November 1973. 144 23rd General Assembly meeting of IUOTO, " Rs. 7438.00 Caracas. October 1973. 145 PATA Board of Directors' Meeting, San " Francisco. October 1973. 146 Inter-Regional Clinical and Public Health " Aspects of Human Reproduction, Tehran. 3-6 November 1973. 147 17th Session FAO Conference and 61st and " Rs. 54247.80 62nd Session FAO Council, Rome. 4 November-1 December 1973. 148 Meeting of the Managing Committee of " Rs. 2456.00 the World System of Scientific Informa- tion (UNISIST) of UNESCO, Paris. 5-9 November 1973. 149 UNESCO's Asian Programme of Educational " Nil Innovation for
